name,price,category,country_of_origin,expiration_date,search_tags,description
smoked lentils,749.78,meat,Morocco,2018-03-26 00:00:00,vacuum sealed dried,vacuum sealed
smoked potatoes,268.63,legumes,Spain,2020-02-13 00:00:00,imported fruit,spicy
imported beef,400.31,canned,China,2020-09-16 00:00:00,dried legumes,domestic
dried lentils,378.55,fruit,China,2018-02-04 00:00:00,imported canned,frozen
fresh beans,118.89,canned,Poland,2018-11-25 00:00:00,frozen dried,dried
dried bread,197.44,legumes,Germany,2020-08-17 00:00:00,domestic canned,domestic
imported potatoes,24.01,meat,China,2018-07-18 00:00:00,spicy vegetables,vacuum sealed
frozen lentils,828.2,pastry,Morocco,2020-02-16 00:00:00,frozen vegetables,frozen
vacuum sealed chicken,351.78,fruit,Morocco,2018-12-10 00:00:00,domestic meat,domestic
vacuum sealed lentils,659.04,dried,Brazil,2018-01-20 00:00:00,dried fruit,domestic
fresh tomato,428.72,meat,Poland,2020-06-10 00:00:00,domestic canned,dried
imported lentils,698.73,legumes,France,2019-04-24 00:00:00,fresh dried,vacuum sealed
dried beef,18.71,processed food,France,2020-03-01 00:00:00,smoked legumes,frozen
frozen broccoli,705.54,vegetables,China,2020-03-25 00:00:00,domestic fruit,domestic
smoked bread,848.74,canned,France,2019-12-25 00:00:00,domestic fruit,smoked
frozen buns,809.2,canned,Poland,2018-04-18 00:00:00,domestic meat,smoked
dried beef,528.41,vegetables,Spain,2020-02-18 00:00:00,fresh fruit,spicy
fresh bread,854.03,pastry,Morocco,2018-02-10 00:00:00,smoked meat,vacuum sealed
spicy paprika,867.05,canned,Spain,2019-04-21 00:00:00,vacuum sealed legumes,domestic
domestic gurkin,465.28,meat,Germany,2018-03-09 00:00:00,frozen processed food,dried
frozen lentils,324.72,dried,Morocco,2020-11-20 00:00:00,imported processed food,domestic
domestic pork,133.12,canned,Spain,2018-01-16 00:00:00,vacuum sealed canned,frozen
dried potatoes,312.82,fruit,Spain,2020-02-12 00:00:00,frozen meat,frozen
dried paprika,596.59,canned,France,2018-09-06 00:00:00,imported processed food,spicy
vacuum sealed tomato,289.44,meat,Morocco,2018-06-08 00:00:00,fresh processed food,imported
spicy potatoes,754.26,vegetables,Germany,2020-01-18 00:00:00,dried vegetables,vacuum sealed
vacuum sealed potatoes,302.27,legumes,China,2020-07-15 00:00:00,smoked processed food,vacuum sealed
frozen beans,573.46,fruit,Morocco,2018-10-11 00:00:00,frozen meat,frozen
frozen beans,623.07,processed food,Spain,2018-07-25 00:00:00,vacuum sealed meat,domestic
imported potatoes,36.94,legumes,France,2020-04-08 00:00:00,imported pastry,fresh
domestic beans,117.41,meat,Poland,2020-11-19 00:00:00,smoked processed food,smoked
imported chicken,170.29,pastry,China,2019-09-18 00:00:00,imported legumes,dried
frozen tomato,223.32,legumes,Poland,2020-01-15 00:00:00,smoked processed food,spicy
spicy lentils,435.25,pastry,Brazil,2018-07-27 00:00:00,frozen canned,smoked
smoked paprika,816.77,pastry,China,2020-01-26 00:00:00,fresh processed food,vacuum sealed
fresh pork,720.91,pastry,Morocco,2020-01-27 00:00:00,dried dried,dried
smoked prawns,993.19,canned,Brazil,2019-10-03 00:00:00,dried dried,vacuum sealed
imported tomato,464.7,vegetables,Spain,2018-10-02 00:00:00,dried processed food,dried
smoked beans,142.61,processed food,China,2020-03-11 00:00:00,dried pastry,dried
smoked chicken,247.77,dried,Brazil,2018-12-05 00:00:00,vacuum sealed processed food,fresh
imported gurkin,573.9,legumes,Poland,2018-08-24 00:00:00,spicy canned,imported
dried lentils,594.02,meat,Germany,2019-10-22 00:00:00,domestic canned,fresh
imported lentils,431.68,pastry,Morocco,2019-04-10 00:00:00,imported legumes,smoked
imported lentils,782.66,canned,China,2019-07-21 00:00:00,spicy legumes,smoked
frozen gurkin,448.77,dried,France,2020-11-09 00:00:00,frozen meat,frozen
imported buns,973.83,meat,Spain,2020-04-03 00:00:00,imported pastry,frozen
fresh chicken,896.19,fruit,France,2019-10-02 00:00:00,dried meat,imported
fresh pork,590.91,meat,China,2020-06-19 00:00:00,fresh dried,domestic
smoked beans,512.26,dried,France,2019-07-14 00:00:00,vacuum sealed dried,dried
smoked prawns,728.84,meat,Germany,2019-06-28 00:00:00,frozen fruit,fresh
spicy prawns,760.31,fruit,China,2018-01-22 00:00:00,imported pastry,fresh
smoked chicken,861.46,meat,Brazil,2019-12-03 00:00:00,vacuum sealed meat,frozen
smoked beef,137.27,vegetables,Spain,2019-05-07 00:00:00,fresh processed food,imported
imported broccoli,327.49,canned,Brazil,2019-01-14 00:00:00,domestic meat,smoked
domestic potatoes,778.32,legumes,Morocco,2018-01-12 00:00:00,spicy dried,dried
fresh pork,270.23,canned,China,2018-11-08 00:00:00,dried vegetables,spicy
domestic buns,494.51,meat,China,2018-12-15 00:00:00,dried fruit,frozen
frozen beef,285.53,fruit,Morocco,2020-05-19 00:00:00,dried legumes,smoked
frozen pork,299.9,legumes,Spain,2019-05-16 00:00:00,vacuum sealed pastry,dried
dried pork,900.7,fruit,Spain,2019-03-26 00:00:00,vacuum sealed pastry,imported
frozen potatoes,202.58,pastry,China,2020-07-08 00:00:00,dried legumes,fresh
domestic beans,644.97,legumes,Morocco,2018-03-24 00:00:00,fresh processed food,dried
frozen potatoes,250.34,canned,Poland,2019-07-22 00:00:00,vacuum sealed legumes,vacuum sealed
spicy tomato,404.79,dried,Brazil,2018-03-08 00:00:00,dried legumes,fresh
smoked paprika,681.51,fruit,Brazil,2019-05-11 00:00:00,domestic vegetables,fresh
fresh paprika,957.73,meat,Morocco,2019-06-24 00:00:00,dried pastry,fresh
spicy broccoli,602.85,vegetables,Morocco,2019-11-28 00:00:00,smoked pastry,dried
spicy tomato,929.15,legumes,China,2019-05-04 00:00:00,frozen processed food,dried
vacuum sealed broccoli,757.09,meat,Germany,2020-09-20 00:00:00,frozen legumes,domestic
dried potatoes,87.92,pastry,Spain,2020-02-15 00:00:00,spicy vegetables,fresh
imported gurkin,270.86,legumes,Spain,2019-02-04 00:00:00,smoked canned,smoked
spicy paprika,948.28,pastry,Brazil,2018-04-15 00:00:00,fresh canned,smoked
imported bread,579.78,processed food,Germany,2019-09-06 00:00:00,dried processed food,smoked
frozen paprika,671.07,pastry,Morocco,2018-12-16 00:00:00,fresh vegetables,frozen
fresh pork,958.3,vegetables,Brazil,2020-03-01 00:00:00,frozen processed food,domestic
frozen buns,175.14,canned,Germany,2018-04-18 00:00:00,domestic fruit,frozen
dried paprika,288.29,meat,Germany,2020-09-08 00:00:00,smoked processed food,smoked
imported broccoli,430.14,pastry,Poland,2019-04-17 00:00:00,fresh meat,imported
fresh tomato,89.82,meat,Brazil,2018-10-01 00:00:00,dried fruit,dried
fresh pork,956.62,canned,Brazil,2020-04-27 00:00:00,smoked legumes,frozen
smoked potatoes,568.8,fruit,Morocco,2019-03-23 00:00:00,vacuum sealed canned,spicy
domestic chicken,901.82,meat,China,2020-10-21 00:00:00,fresh vegetables,smoked
frozen broccoli,94.38,legumes,Morocco,2018-07-26 00:00:00,smoked legumes,spicy
smoked broccoli,236.58,dried,Poland,2018-06-19 00:00:00,frozen meat,domestic
imported prawns,312.29,canned,Spain,2019-10-20 00:00:00,vacuum sealed fruit,fresh
vacuum sealed broccoli,762.36,processed food,China,2018-05-19 00:00:00,spicy meat,frozen
fresh prawns,578.71,fruit,China,2018-04-28 00:00:00,imported legumes,imported
smoked lentils,619.46,processed food,Poland,2018-10-08 00:00:00,imported canned,smoked
fresh prawns,647.03,vegetables,France,2019-05-04 00:00:00,spicy fruit,fresh
domestic buns,86.56,canned,China,2019-02-18 00:00:00,frozen vegetables,fresh
dried paprika,475.9,fruit,Germany,2020-02-03 00:00:00,imported canned,fresh
frozen beans,695.1,dried,Poland,2019-04-27 00:00:00,fresh vegetables,vacuum sealed
fresh broccoli,459.6,pastry,Morocco,2018-03-05 00:00:00,vacuum sealed processed food,fresh
dried paprika,555.23,fruit,Poland,2018-11-23 00:00:00,domestic vegetables,imported
imported chicken,936.27,legumes,Germany,2020-04-04 00:00:00,fresh pastry,vacuum sealed
frozen broccoli,743.73,fruit,France,2019-12-24 00:00:00,fresh fruit,frozen
domestic broccoli,52.08,canned,Brazil,2019-09-11 00:00:00,smoked legumes,frozen
vacuum sealed beef,531.4,dried,Brazil,2018-03-01 00:00:00,domestic vegetables,imported
spicy gurkin,836.91,dried,Spain,2020-01-13 00:00:00,spicy meat,fresh
domestic tomato,760.52,processed food,Morocco,2019-06-06 00:00:00,smoked vegetables,smoked
dried buns,804.1,legumes,Poland,2019-12-20 00:00:00,frozen pastry,vacuum sealed
domestic bread,454.37,canned,Germany,2020-07-06 00:00:00,imported meat,smoked
dried buns,996.2,dried,Poland,2020-02-04 00:00:00,dried dried,spicy
smoked beans,83.17,legumes,Spain,2019-03-27 00:00:00,frozen processed food,imported
frozen buns,522.09,canned,Spain,2019-02-18 00:00:00,frozen dried,fresh
fresh bread,593.41,vegetables,Morocco,2018-02-11 00:00:00,frozen dried,domestic
spicy pork,109.19,fruit,Brazil,2020-06-27 00:00:00,fresh meat,fresh
smoked pork,318.37,pastry,Spain,2018-03-04 00:00:00,imported dried,dried
smoked beans,346.33,canned,France,2020-01-28 00:00:00,smoked pastry,domestic
imported potatoes,19.01,canned,Morocco,2018-07-24 00:00:00,domestic dried,domestic
dried broccoli,356.79,legumes,France,2018-10-18 00:00:00,frozen dried,dried
imported bread,840.23,vegetables,China,2018-10-24 00:00:00,smoked legumes,dried
domestic pork,298.12,vegetables,France,2019-02-11 00:00:00,domestic canned,vacuum sealed
vacuum sealed pork,772.13,processed food,Germany,2020-11-16 00:00:00,domestic meat,smoked
fresh gurkin,689.96,vegetables,Germany,2020-01-22 00:00:00,frozen meat,domestic
frozen tomato,172.17,legumes,Brazil,2019-05-08 00:00:00,frozen vegetables,fresh
spicy lentils,600.39,legumes,Morocco,2018-12-24 00:00:00,frozen pastry,imported
frozen beef,847.93,canned,Germany,2019-08-12 00:00:00,imported vegetables,vacuum sealed
frozen chicken,971.93,canned,Brazil,2019-01-07 00:00:00,spicy processed food,fresh
imported lentils,13.65,canned,Poland,2020-05-23 00:00:00,vacuum sealed processed food,spicy
domestic pork,348.24,fruit,France,2020-03-17 00:00:00,vacuum sealed pastry,domestic
smoked broccoli,622.63,fruit,China,2018-09-10 00:00:00,spicy legumes,domestic
dried prawns,459.52,canned,Morocco,2018-12-04 00:00:00,frozen processed food,fresh
vacuum sealed bread,240.32,legumes,China,2019-11-09 00:00:00,vacuum sealed vegetables,frozen
smoked lentils,580.44,dried,France,2019-06-20 00:00:00,fresh dried,frozen
domestic buns,3.84,pastry,Germany,2020-04-18 00:00:00,dried meat,frozen
dried buns,519.47,dried,Brazil,2019-06-19 00:00:00,vacuum sealed processed food,spicy
dried paprika,173.68,fruit,Morocco,2020-05-03 00:00:00,frozen meat,domestic
imported potatoes,914.75,dried,China,2018-05-21 00:00:00,fresh dried,fresh
smoked beef,179.51,pastry,Brazil,2018-06-26 00:00:00,vacuum sealed dried,fresh
spicy paprika,650.88,canned,Morocco,2018-01-24 00:00:00,spicy fruit,smoked
domestic pork,261.75,vegetables,Morocco,2018-06-05 00:00:00,smoked dried,spicy
frozen beef,484.08,dried,Brazil,2018-01-26 00:00:00,fresh meat,imported
frozen lentils,761.71,vegetables,Germany,2018-02-24 00:00:00,dried fruit,smoked
vacuum sealed beans,420.26,processed food,Poland,2019-04-10 00:00:00,imported vegetables,domestic
smoked broccoli,671.68,vegetables,France,2018-08-22 00:00:00,frozen processed food,domestic
dried paprika,593.11,meat,China,2018-12-04 00:00:00,imported canned,fresh
vacuum sealed paprika,926.73,processed food,Poland,2019-06-27 00:00:00,dried processed food,imported
fresh beef,664.44,processed food,Brazil,2019-04-03 00:00:00,domestic processed food,fresh
vacuum sealed pork,139.15,pastry,China,2018-01-03 00:00:00,spicy processed food,frozen
frozen lentils,374.27,pastry,Brazil,2020-04-06 00:00:00,frozen pastry,vacuum sealed
dried chicken,881.34,dried,Brazil,2020-11-10 00:00:00,dried meat,domestic
smoked beans,692.44,fruit,Poland,2019-06-25 00:00:00,imported pastry,fresh
frozen bread,659.37,dried,Poland,2018-10-27 00:00:00,dried vegetables,spicy
imported beans,907.27,dried,Brazil,2020-08-01 00:00:00,frozen pastry,fresh
vacuum sealed prawns,948.96,vegetables,China,2018-09-24 00:00:00,vacuum sealed processed food,smoked
domestic beans,999.02,vegetables,Germany,2020-04-08 00:00:00,fresh vegetables,spicy
dried broccoli,213.14,pastry,Germany,2018-09-07 00:00:00,imported pastry,spicy
smoked paprika,882.4,vegetables,Spain,2020-01-06 00:00:00,spicy pastry,frozen
imported bread,909.42,processed food,France,2020-09-10 00:00:00,spicy canned,spicy
dried pork,356.35,dried,Brazil,2018-04-18 00:00:00,imported legumes,frozen
domestic potatoes,933.88,processed food,Germany,2020-02-06 00:00:00,fresh fruit,frozen
domestic tomato,108.23,meat,Germany,2018-09-20 00:00:00,domestic canned,imported
domestic bread,45.17,pastry,Poland,2018-12-01 00:00:00,domestic processed food,imported
dried lentils,56.64,processed food,Spain,2019-04-16 00:00:00,imported processed food,fresh
vacuum sealed lentils,264.31,canned,France,2020-05-15 00:00:00,vacuum sealed processed food,fresh
spicy paprika,507.67,legumes,Germany,2018-06-20 00:00:00,vacuum sealed meat,domestic
frozen pork,499.15,pastry,France,2018-10-03 00:00:00,imported fruit,imported
domestic beef,979.48,vegetables,Brazil,2020-05-13 00:00:00,fresh processed food,frozen
vacuum sealed gurkin,518.37,meat,Spain,2019-03-25 00:00:00,domestic processed food,frozen
spicy buns,415.43,processed food,Poland,2020-05-10 00:00:00,domestic pastry,frozen
dried prawns,973.31,canned,Poland,2019-03-13 00:00:00,spicy vegetables,fresh
domestic gurkin,526.92,legumes,Spain,2018-07-03 00:00:00,vacuum sealed legumes,frozen
fresh lentils,104.95,vegetables,Poland,2019-05-11 00:00:00,fresh dried,spicy
spicy bread,183.48,processed food,Brazil,2020-07-24 00:00:00,vacuum sealed dried,vacuum sealed
imported paprika,554.92,pastry,Spain,2019-09-10 00:00:00,smoked processed food,frozen
vacuum sealed gurkin,753.87,legumes,Spain,2020-12-02 00:00:00,spicy processed food,frozen
dried prawns,781.87,fruit,Spain,2020-04-08 00:00:00,dried dried,dried
domestic buns,221.57,meat,France,2018-03-23 00:00:00,imported meat,vacuum sealed
spicy buns,838.23,canned,Germany,2020-10-10 00:00:00,imported legumes,fresh
imported pork,741.42,fruit,Germany,2020-09-23 00:00:00,spicy meat,imported
spicy lentils,821.55,vegetables,Morocco,2020-04-04 00:00:00,domestic vegetables,frozen
imported prawns,131.08,fruit,Poland,2019-06-06 00:00:00,dried pastry,spicy
